id,date,sst
60.125_5.125,01-Sep-0081,27.95
60.125_5.125,02-Sep-0081,27.5
60.125_5.125,03-Sep-0081,28.92
60.125_5.125,04-Sep-0081,29.49
60.125_5.125,05-Sep-0081,28.68
60.125_5.125,06-Sep-0081,29.41
60.125_5.125,07-Sep-0081,27.27
60.125_5.125,08-Sep-0081,28.67
60.125_5.125,09-Sep-0081,29.68
60.125_5.125,10-Sep-0081,29.91
60.125_5.125,11-Sep-0081,28.73
60.125_5.125,12-Sep-0081,27.91
60.125_5.125,13-Sep-0081,27.75
60.125_5.125,14-Sep-0081,28.74
60.125_5.125,15-Sep-0081,30.68
60.125_5.125,16-Sep-0081,30.0
60.125_5.125,17-Sep-0081,29.11
60.125_5.125,18-Sep-0081,27.87
60.125_5.125,19-Sep-0081,27.7
60.125_5.125,20-Sep-0081,28.62
60.125_5.125,21-Sep-0081,30.63
60.125_5.125,22-Sep-0081,29.57
60.125_5.125,23-Sep-0081,28.85
60.125_5.125,24-Sep-0081,27.58
60.125_5.125,25-Sep-0081,28.86
60.125_5.125,26-Sep-0081,30.46
60.125_5.125,27-Sep-0081,30.18
60.125_5.125,28-Sep-0081,30.92
60.125_5.125,29-Sep-0081,28.23
60.125_5.125,30-Sep-0081,28.26
60.125_5.125,01-Oct-0081,28.47
60.125_5.125,02-Oct-0081,29.3
60.125_5.125,03-Oct-0081,29.49
60.125_5.125,04-Oct-0081,27.52
60.125_5.125,05-Oct-0081,28.69
60.125_5.125,06-Oct-0081,27.66
60.125_5.125,07-Oct-0081,28.56
60.125_5.125,08-Oct-0081,30.55
60.125_5.125,09-Oct-0081,30.36
60.125_5.125,10-Oct-0081,27.62
60.125_5.125,11-Oct-0081,28.26
60.125_5.125,12-Oct-0081,28.47
60.125_5.125,13-Oct-0081,29.98
60.125_5.125,14-Oct-0081,30.55
60.125_5.125,15-Oct-0081,26.99
60.125_5.125,16-Oct-0081,28.6
60.125_5.125,17-Oct-0081,27.84
60.125_5.125,18-Oct-0081,27.24
60.125_5.125,19-Oct-0081,29.37
60.125_5.125,20-Oct-0081,28.98
60.125_5.125,21-Oct-0081,28.66
60.125_5.125,22-Oct-0081,28.86
60.125_5.125,23-Oct-0081,29.29
60.125_5.125,24-Oct-0081,29.06
60.125_5.125,25-Oct-0081,29.76
60.125_5.125,26-Oct-0081,27.26
60.125_5.125,27-Oct-0081,29.32
60.125_5.125,28-Oct-0081,28.99
60.125_5.125,29-Oct-0081,28.47
60.125_5.125,30-Oct-0081,29.0
60.125_5.125,31-Oct-0081,28.39
60.125_5.125,01-Nov-0081,28.19
60.125_5.125,02-Nov-0081,27.56
60.125_5.125,03-Nov-0081,29.78
60.125_5.125,04-Nov-0081,29.06
60.125_5.125,05-Nov-0081,28.96
60.125_5.125,06-Nov-0081,27.38
60.125_5.125,07-Nov-0081,28.47
60.125_5.125,08-Nov-0081,29.19
60.125_5.125,09-Nov-0081,29.49
60.125_5.125,10-Nov-0081,28.12
60.125_5.125,11-Nov-0081,28.95
60.125_5.125,12-Nov-0081,27.35
60.125_5.125,13-Nov-0081,27.92
60.125_5.125,14-Nov-0081,28.7
60.125_5.125,15-Nov-0081,28.3
60.125_5.125,16-Nov-0081,28.69
60.125_5.125,17-Nov-0081,27.96
60.125_5.125,18-Nov-0081,28.08
60.125_5.125,19-Nov-0081,29.19
60.125_5.125,20-Nov-0081,28.83
60.125_5.125,21-Nov-0081,27.97
60.125_5.125,22-Nov-0081,29.08
60.125_5.125,23-Nov-0081,26.98
60.125_5.125,24-Nov-0081,29.28
60.125_5.125,25-Nov-0081,27.77
60.125_5.125,26-Nov-0081,28.65
60.125_5.125,27-Nov-0081,29.33
60.125_5.125,28-Nov-0081,28.37
60.125_5.125,29-Nov-0081,28.57
60.125_5.125,30-Nov-0081,28.69
60.125_5.125,01-Dec-0081,29.31
60.125_5.125,02-Dec-0081,28.76
60.125_5.125,03-Dec-0081,28.64
60.125_5.125,04-Dec-0081,27.23
60.125_5.125,05-Dec-0081,28.27
60.125_5.125,06-Dec-0081,28.46
60.125_5.125,07-Dec-0081,29.11
60.125_5.125,08-Dec-0081,29.4
60.125_5.125,09-Dec-0081,28.33
60.125_5.125,10-Dec-0081,28.82
60.125_5.125,11-Dec-0081,28.32
60.125_5.125,12-Dec-0081,28.82
60.125_5.125,13-Dec-0081,30.11
60.125_5.125,14-Dec-0081,29.13
60.125_5.125,15-Dec-0081,27.61
60.125_5.125,16-Dec-0081,28.24
60.125_5.125,17-Dec-0081,28.64
60.125_5.125,18-Dec-0081,29.6
60.125_5.125,19-Dec-0081,29.14
60.125_5.125,20-Dec-0081,28.03
60.125_5.125,21-Dec-0081,27.83
60.125_5.125,22-Dec-0081,28.33
60.125_5.125,23-Dec-0081,28.63
60.125_5.125,24-Dec-0081,29.19
60.125_5.125,25-Dec-0081,28.98
60.125_5.125,26-Dec-0081,28.41
60.125_5.125,27-Dec-0081,28.82
60.125_5.125,28-Dec-0081,28.03
60.125_5.125,29-Dec-0081,29.26
60.125_5.125,30-Dec-0081,28.85
60.125_5.125,31-Dec-0081,29.87
60.125_5.125,01-Jan-0082,28.33
60.125_5.125,02-Jan-0082,29.22
60.125_5.125,03-Jan-0082,28.34
60.125_5.125,04-Jan-0082,29.31
60.125_5.125,05-Jan-0082,28.67
60.125_5.125,06-Jan-0082,29.0
60.125_5.125,07-Jan-0082,28.26
60.125_5.125,08-Jan-0082,28.61
60.125_5.125,09-Jan-0082,29.28
60.125_5.125,10-Jan-0082,28.29
60.125_5.125,11-Jan-0082,30.81
60.125_5.125,12-Jan-0082,28.96
60.125_5.125,13-Jan-0082,29.12
60.125_5.125,14-Jan-0082,27.43
60.125_5.125,15-Jan-0082,28.68
60.125_5.125,16-Jan-0082,28.68
60.125_5.125,17-Jan-0082,30.41
60.125_5.125,18-Jan-0082,28.71
60.125_5.125,19-Jan-0082,28.08
60.125_5.125,20-Jan-0082,29.52
60.125_5.125,21-Jan-0082,29.3
60.125_5.125,22-Jan-0082,30.87
60.125_5.125,23-Jan-0082,29.63
60.125_5.125,24-Jan-0082,29.47
60.125_5.125,25-Jan-0082,28.29
60.125_5.125,26-Jan-0082,29.39
60.125_5.125,27-Jan-0082,28.47
60.125_5.125,28-Jan-0082,29.94
60.125_5.125,29-Jan-0082,29.18
60.125_5.125,30-Jan-0082,28.07
60.125_5.125,31-Jan-0082,29.63
60.125_5.125,01-Feb-0082,29.14
60.125_5.125,02-Feb-0082,29.82
60.125_5.125,03-Feb-0082,29.77
60.125_5.125,04-Feb-0082,29.59
60.125_5.125,05-Feb-0082,28.76
60.125_5.125,06-Feb-0082,27.84
60.125_5.125,07-Feb-0082,28.64
60.125_5.125,08-Feb-0082,29.14
60.125_5.125,09-Feb-0082,29.64
60.125_5.125,10-Feb-0082,29.38
60.125_5.125,11-Feb-0082,29.21
60.125_5.125,12-Feb-0082,28.95
60.125_5.125,13-Feb-0082,29.73
60.125_5.125,14-Feb-0082,28.76
60.125_5.125,15-Feb-0082,30.24
60.125_5.125,16-Feb-0082,28.72
60.125_5.125,17-Feb-0082,27.97
60.125_5.125,18-Feb-0082,28.71
60.125_5.125,19-Feb-0082,27.65
60.125_5.125,20-Feb-0082,31.31
60.125_5.125,21-Feb-0082,29.09
60.125_5.125,22-Feb-0082,29.12
60.125_5.125,23-Feb-0082,28.7
60.125_5.125,24-Feb-0082,26.41
60.125_5.125,25-Feb-0082,29.27
60.125_5.125,26-Feb-0082,31.06
60.125_5.125,27-Feb-0082,28.43
60.125_5.125,28-Feb-0082,28.5
60.125_5.125,01-Mar-0082,28.59
60.125_5.125,02-Mar-0082,27.84
60.125_5.125,03-Mar-0082,29.78
60.125_5.125,04-Mar-0082,29.99
60.125_5.125,05-Mar-0082,29.38
60.125_5.125,06-Mar-0082,28.26
60.125_5.125,07-Mar-0082,27.66
60.125_5.125,08-Mar-0082,28.82
60.125_5.125,09-Mar-0082,32.25
60.125_5.125,10-Mar-0082,29.43
60.125_5.125,11-Mar-0082,28.94
60.125_5.125,12-Mar-0082,28.73
60.125_5.125,13-Mar-0082,29.69
60.125_5.125,14-Mar-0082,28.35
60.125_5.125,15-Mar-0082,29.61
60.125_5.125,16-Mar-0082,29.64
60.125_5.125,17-Mar-0082,28.58
60.125_5.125,18-Mar-0082,29.26
60.125_5.125,19-Mar-0082,28.25
60.125_5.125,20-Mar-0082,29.66
60.125_5.125,21-Mar-0082,29.86
60.125_5.125,22-Mar-0082,29.09
60.125_5.125,23-Mar-0082,29.53
60.125_5.125,24-Mar-0082,28.87
60.125_5.125,25-Mar-0082,28.16
60.125_5.125,26-Mar-0082,29.69
60.125_5.125,27-Mar-0082,30.71
60.125_5.125,28-Mar-0082,29.28
60.125_5.125,29-Mar-0082,28.58
60.125_5.125,30-Mar-0082,28.41
60.125_5.125,31-Mar-0082,28.85
60.125_5.125,01-Apr-0082,29.71
60.125_5.125,02-Apr-0082,29.72
60.125_5.125,03-Apr-0082,29.66
60.125_5.125,04-Apr-0082,28.32
60.125_5.125,05-Apr-0082,29.15
60.125_5.125,06-Apr-0082,29.84
60.125_5.125,07-Apr-0082,30.73
60.125_5.125,08-Apr-0082,29.54
60.125_5.125,09-Apr-0082,28.78
60.125_5.125,10-Apr-0082,28.92
60.125_5.125,11-Apr-0082,28.73
60.125_5.125,12-Apr-0082,29.5
60.125_5.125,13-Apr-0082,29.99
60.125_5.125,14-Apr-0082,30.23
60.125_5.125,15-Apr-0082,28.05
60.125_5.125,16-Apr-0082,29.08
60.125_5.125,17-Apr-0082,29.11
60.125_5.125,18-Apr-0082,29.86
60.125_5.125,19-Apr-0082,30.14
60.125_5.125,20-Apr-0082,29.41
60.125_5.125,21-Apr-0082,29.07
60.125_5.125,22-Apr-0082,28.29
60.125_5.125,23-Apr-0082,29.77
60.125_5.125,24-Apr-0082,30.18
60.125_5.125,25-Apr-0082,30.07
60.125_5.125,26-Apr-0082,28.57
60.125_5.125,27-Apr-0082,29.11
60.125_5.125,28-Apr-0082,28.87
60.125_5.125,29-Apr-0082,29.91
60.125_5.125,30-Apr-0082,29.5
60.125_5.125,01-May-0082,29.08
60.125_5.125,02-May-0082,29.39
60.125_5.125,03-May-0082,27.93
60.125_5.125,04-May-0082,28.45
60.125_5.125,05-May-0082,29.55
60.125_5.125,06-May-0082,29.56
60.125_5.125,07-May-0082,28.66
60.125_5.125,08-May-0082,29.3
60.125_5.125,09-May-0082,28.68
60.125_5.125,10-May-0082,29.34
60.125_5.125,11-May-0082,29.16
60.125_5.125,12-May-0082,29.59
60.125_5.125,13-May-0082,28.07
60.125_5.125,14-May-0082,29.19
60.125_5.125,15-May-0082,29.91
60.125_5.125,16-May-0082,29.25
60.125_5.125,17-May-0082,29.41
60.125_5.125,18-May-0082,27.93
60.125_5.125,19-May-0082,28.77
60.125_5.125,20-May-0082,29.49
60.125_5.125,21-May-0082,29.52
60.125_5.125,22-May-0082,28.1
60.125_5.125,23-May-0082,27.26
60.125_5.125,24-May-0082,29.03
60.125_5.125,25-May-0082,28.23
60.125_5.125,26-May-0082,28.07
60.125_5.125,27-May-0082,28.66
60.125_5.125,28-May-0082,28.35
60.125_5.125,29-May-0082,28.14
60.125_5.125,30-May-0082,28.45
60.125_5.125,31-May-0082,28.31
60.125_5.125,01-Jun-0082,28.48
60.125_5.125,02-Jun-0082,29.31
60.125_5.125,03-Jun-0082,26.28
60.125_5.125,04-Jun-0082,29.1
60.125_5.125,05-Jun-0082,28.38
60.125_5.125,06-Jun-0082,27.48
60.125_5.125,07-Jun-0082,28.32
60.125_5.125,08-Jun-0082,27.72
60.125_5.125,09-Jun-0082,26.24
60.125_5.125,10-Jun-0082,28.11
60.125_5.125,11-Jun-0082,27.54
60.125_5.125,12-Jun-0082,28.65
60.125_5.125,13-Jun-0082,27.15
60.125_5.125,14-Jun-0082,28.28
60.125_5.125,15-Jun-0082,28.0
60.125_5.125,16-Jun-0082,27.99
60.125_5.125,17-Jun-0082,29.03
60.125_5.125,18-Jun-0082,28.49
60.125_5.125,19-Jun-0082,28.11
60.125_5.125,20-Jun-0082,27.66
60.125_5.125,21-Jun-0082,27.03
60.125_5.125,22-Jun-0082,29.21
60.125_5.125,23-Jun-0082,28.25
60.125_5.125,24-Jun-0082,28.05
60.125_5.125,25-Jun-0082,28.19
60.125_5.125,26-Jun-0082,27.98
60.125_5.125,27-Jun-0082,28.79
60.125_5.125,28-Jun-0082,28.79
60.125_5.125,29-Jun-0082,28.39
60.125_5.125,30-Jun-0082,28.38
60.125_5.125,01-Jul-0082,28.14
60.125_5.125,02-Jul-0082,27.14
60.125_5.125,03-Jul-0082,29.1
60.125_5.125,04-Jul-0082,27.81
60.125_5.125,05-Jul-0082,27.88
60.125_5.125,06-Jul-0082,28.13
60.125_5.125,07-Jul-0082,28.58
60.125_5.125,08-Jul-0082,28.05
60.125_5.125,09-Jul-0082,29.24
60.125_5.125,10-Jul-0082,29.64
60.125_5.125,11-Jul-0082,29.21
60.125_5.125,12-Jul-0082,28.7
60.125_5.125,13-Jul-0082,27.57
60.125_5.125,14-Jul-0082,28.26
60.125_5.125,15-Jul-0082,28.46
60.125_5.125,16-Jul-0082,30.13
60.125_5.125,17-Jul-0082,29.2
60.125_5.125,18-Jul-0082,28.28
60.125_5.125,19-Jul-0082,27.8
60.125_5.125,20-Jul-0082,28.29
60.125_5.125,21-Jul-0082,29.14
60.125_5.125,22-Jul-0082,28.29
60.125_5.125,23-Jul-0082,28.91
60.125_5.125,24-Jul-0082,27.27
60.125_5.125,25-Jul-0082,28.06
60.125_5.125,26-Jul-0082,29.25
60.125_5.125,27-Jul-0082,28.12
60.125_5.125,28-Jul-0082,29.01
60.125_5.125,29-Jul-0082,28.52
60.125_5.125,30-Jul-0082,27.3
60.125_5.125,31-Jul-0082,28.65
60.125_5.125,01-Aug-0082,28.85
60.125_5.125,02-Aug-0082,28.37
60.125_5.125,03-Aug-0082,29.68
60.125_5.125,04-Aug-0082,28.61
60.125_5.125,05-Aug-0082,28.85
60.125_5.125,06-Aug-0082,28.61
60.125_5.125,07-Aug-0082,28.63
60.125_5.125,08-Aug-0082,29.31
60.125_5.125,09-Aug-0082,29.85
60.125_5.125,10-Aug-0082,28.21
60.125_5.125,11-Aug-0082,28.54
60.125_5.125,12-Aug-0082,29.27
60.125_5.125,13-Aug-0082,28.36
60.125_5.125,14-Aug-0082,30.62
60.125_5.125,15-Aug-0082,28.4
60.125_5.125,16-Aug-0082,28.29
60.125_5.125,17-Aug-0082,27.69
60.125_5.125,18-Aug-0082,29.37
60.125_5.125,19-Aug-0082,31.95
60.125_5.125,20-Aug-0082,31.13
60.125_5.125,21-Aug-0082,28.97
60.125_5.125,22-Aug-0082,28.62
60.125_5.125,23-Aug-0082,28.89
60.125_5.125,24-Aug-0082,28.91
60.125_5.125,25-Aug-0082,29.78
60.125_5.125,26-Aug-0082,28.98
60.125_5.125,27-Aug-0082,28.91
60.125_5.125,28-Aug-0082,27.66
60.125_5.125,29-Aug-0082,29.43
60.125_5.125,30-Aug-0082,29.06
60.125_5.125,31-Aug-0082,30.62
